Names,state,statute_id,statute_name,estimated_amount,penalty type,year,penalty_amt_min,peanlty_amt_max,penalty_amt_fixed,other_penalty,notes
Clark,idaho,id_1,idaho code § 18-112,$0 - $50000,punishment for felony,1972,,"$5,000 ",,,All felonies can give you prison time of 5 years and fine if not stated otherwise
Clark,idaho,id_3,idaho code § 18-113,$0 - $1000,punishment for misdemeanor,1972,,$300 ,,,Misdemenors can also get a fine if not otherwise specified (or jail)
Clark,idaho,id_05,idaho code § 18-303,$0 - $500,common law offenses  punishment  imprisonment for nonpayment of fine,1972,,$500 ,,,Misdamenors under common law without listed with a punishment can get a fee of 500
Clark,idaho,id_06,idaho code § 18-401,$0 - $500,desertion and nonsupport of children or spouse,1972,,$500 ,,,Fine for abandoning wife or child
Clark,idaho,id_11,idaho code § 18-701,$0 - $5000,refusal of officer to make arrest,1972,,"$5,000 ",,,Refusal of officer to arrest someone
Clark,idaho,id_12,idaho code § 18-704,$0 - $5000,inhuman treatment of prisoners,1972,,"$5,000 ",,,Abusing prisoners
Clark,idaho,id_13,idaho code § 18-705,$0 - $1000,resisting and obstructing officers,1972,,,,,
Clark,idaho,id_14,idaho code § 18-706,$0 - $5000,unnecessary assaults by officers,1972,,"$5,000 ",,,Unececary use of force in arrest
Clark,idaho,id_24,idaho code § 18-1001,$0 - $500,common barratry,1972,,$500 ,,,Common barratray
Clark,idaho,id_25,idaho code § 18-1103,$0 - $2000,punishment for bigamy,1972,,"$2,000 ",,,Bigamy
Clark,idaho,id_26,idaho code § 18-1104,$0 - $2000,marrying spouse of another,1972,,"$2,000 ",,,Knowingly marrying someone who is married
Julia,idaho,id_37,idaho code § 18-1511,$0 - $1002,sale or barter of child for adoption or other purpose penalized-allowed expenses,1972,n/a,n/a,"$5,000 ",fine and/or imprisonment,"punished by imprisonment in the state penitentiary for no more than fourteen (14) years, or by a fine of no more than five thousand dollars ($5,000), or by fine and/or imprisonment.
"
Julia,idaho,id_38,idaho code § 18-1512,$0 - $1003,medical bills payment for child to be adopted or mother an exception,1972,n/a,n/a,n/a,n/a,exception
Julia,idaho,id_39,idaho code § 18-1513,$0 - $1004,"obscene materials, dissemination to minors, policy",1972,n/a,n/a,n/a,n/a,no penalty laid out
Julia,idaho,id_40,idaho code § 18-1514,$0 - $1005,"obscene materials, definitions",1972,n/a,n/a,n/a,$250 ,"any minor, parent, or legal guardian who prevails in an action brought under this section may recover two hundred fifty dollars ($250) in statutory damages as well as actual damages"
Julia,idaho,id_41,idaho code § 18-1515,$0 - $1006,disseminating material harmful to minors,1972,n/a,n/a,"$1,000 ",fine and/or imprisonment,"punishable by confinement in the county jail not to exceed one (1) year, or by a fine not to exceed one thousand dollars ($1,000), or by both such fine and jail sentence."
Julia,idaho,id_42,idaho code § 18-1516,$0 - $1007,"misrepresentations, parenthood or age, misdemeanor",1972,n/a,n/a,n/a,n/a,no penalty laid out
Julia,idaho,id_43,idaho code § 18-1517,$0 - $1008,"disseminating material harmful to minors, defenses",1972,n/a,n/a,n/a,n/a,no penalty laid out
Julia,idaho,id_44,idaho code § 18-1518,$0 - $1009,"tie in sales of prohibited materials, misdemeanor",1972,n/a,n/a,n/a,misdemeanor,no penalty laid out
Julia,idaho,id_45,idaho code § 18-1519,$0 - $1010,prohibited item dissemination,1972,n/a,n/a,n/a,n/a,"each article or item of material prohibited under this statute shall constitute a separate offense
"
Julia,idaho,id_46,idaho code § 18-1520,$0 - $1011,"district courts, injunctions, trial, orders of injunction",1972,n/a,n/a,n/a,n/a,no penalty laid out
Julia,idaho,id_47,idaho code § 18-1521,$0 - $1012,"uniform enforcement, abrogation of existing ordinances, further local ordinances banned",1972,n/a,n/a,n/a,n/a,no penalty laid out
Nuhamin,idaho,id_78,idaho code § 18-3611,$0 - $1000,counterfeiting railroad ticket,1972,n/a,n/a,"$1,000 ",,"could be punished by imprisonment in the state prison, or in the county jail, not exceeding one (1) year"
Nuhamin,idaho,id_79,idaho code § 18-3612,$0 - $1000,restoring canceled railroad tickets,1972,n/a,n/a,"$1,000 ",,punishable by imprisonment in the county jail not exceeding six (6) months
Nuhamin,idaho,id_80,idaho code § 18-3613,$100 - $1000,simulation of switch and car keys,1972,$100 ,"$1,000 ",n/a,,could be punished by imprisonment in the county jail not less than thirty (30) days nor more than six (6) months.
Nuhamin,idaho,id_81,idaho code § 18-3619,$0 - $200,slugs or counterfeited coins  penalty for use in vending machines or coin-boxes,1972,n/a,n/a,$200 ,,imprisoned not more than sixty (60) days
Nuhamin,idaho,id_82,idaho code § 18-3620,$0 - $200,slugs or counterfeited coins  penalty for manufacture or sale,1972,n/a,n/a,$200 ,,imprisoned not more than sixty (60) days
Nuhamin,idaho,id_83,idaho code § 18-3809,$0 - $1000,bookmaking and pool selling,1972,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail for a period of not more than six (6) months
Nuhamin,idaho,id_85,idaho code § 18-3906,$150 - $2500,placing debris on highways,1972,$150 ,"$2,500 ",n/a,could be punished by imprisonment in the county jail not exceeding six (6) months,"first conviction: $150, 2nd conviction: $300, 3rd conviction: $1000"
Nuhamin,idaho,id_86,idaho code § 18-3907,$50 - $100,flooding highways,1972,n/a,n/a,n/a,n/a,n/a
Nuhamin,idaho,id_87,idaho code § 18-3910,$0 - $20,evasion of toll,1972,n/a,n/a,$20 ,,
Nuhamin,idaho,id_90,idaho code § 18-4616,$0 - $1000,defacing marks on logs or lumber,1972,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail not exceeding six (6) months
Nuhamin,idaho,id_91,idaho code § 18-4620,$0 - $60,stealing rides-punishment,1972,n/a,n/a,$60 ,,could be punished by imprisonment in the county jail for a period not exceeding thirty days
